Year,Corn yield (USDA (2017) & FAO (2017))
1866,1.6342
1867,1.661100412
1868,1.761976955
1869,1.466072428
1870,1.970455144
1871,1.829227984
1872,1.977180247
1873,1.54004856
1874,1.49297284
1875,1.862853498
1876,1.795602469
1877,1.735076543
1878,1.761976955
1879,1.896479012
1880,1.835953086
1881,1.33157037
1882,1.782152263
1883,1.627474897
1884,1.903204115
1885,1.923379424
1886,1.620749794
1887,1.472797531
1888,1.957004938
1889,1.98390535
1890,1.486247737
1891,1.990630453
1892,1.661100412
1893,1.600574486
1894,1.358470782
1895,1.883028807
1896,2.017530864
1897,1.708176132
1898,1.802327572
1899,1.883028807
1900,1.889753909
1901,1.223968724
1902,1.916654321
1903,1.809052675
1904,1.896479012
1905,2.07805679
1906,2.131857613
1907,1.829227984
1908,1.809052675
1909,1.755251852
1910,1.876303704
1911,1.640925103
1912,1.957004938
1913,1.526598354
1914,1.735076543
1915,1.889753909
1916,1.620749794
1917,1.761976955
1918,1.607299588
1919,1.802327572
1920,2.010805761
1921,1.869578601
1922,1.768702058
1923,1.869578601
1924,1.486247737
1925,1.842678189
1926,1.72835144
1927,1.77542716
1928,1.768702058
1929,1.72835144
1930,1.378646091
1931,1.647650206
1932,1.782152263
1933,1.533323457
1934,1.257594239
1935,1.627474897
1936,1.250869136
1937,1.943554733
1938,1.869578601
1939,2.010805761
1940,1.943554733
1941,2.098232099
1942,2.38068642
1943,2.192383539
1944,2.219283951
1945,2.226009053
1946,2.501738272
1947,1.923379424
1948,2.891794239
1949,2.5689893
1950,2.5689893
1951,2.481562963
1952,2.811093004
1953,2.737116872
1954,2.649690535
1955,2.82454321
1956,3.187698765
1957,3.248224691
1958,3.550854321
1959,3.57102963
1960,3.678631276
1961,3.9184
1962,4.0621
1963,4.2596
1964,3.9498
1965,4.6492
1966,4.5892
1967,5.0265
1968,4.9891
1969,5.3908
1970,4.5439
1971,5.527
1972,6.0897
1973,5.7278
1974,4.5119
1975,5.4213
1976,5.5206
1977,5.7015
1978,6.3421
1979,6.8734
1980,5.7118
1981,6.838
1982,7.1082
1983,5.0893
1984,6.6981
1985,7.4074
1986,7.493
1987,7.5225
1988,5.3109
1989,7.2978
1990,7.438
1991,6.8172
1992,8.2526
1993,6.3211
1994,8.6997
1995,7.123
1996,7.9777
1997,7.9522
1998,8.4382
1999,8.3979
2000,8.591
2001,8.6733
2002,8.1179
2003,8.9246
2004,10.0636
2005,9.2852
2006,9.3576
2007,9.4584
2008,9.6596
2009,10.3376
2010,9.5923
2011,9.2363
2012,7.7439
2013,9.9256
2014,10.7326
